epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,551.829,0.50239,0.40824,1.00691,0.99225,0.99864,0.995,0.94623,0.29613,0.25566,0.84799,0.00086338,0.00086338,0.00086338
71,559.559,0.47025,0.38312,0.9705,0.99208,0.99819,0.99184,0.94918,0.29452,0.2598,0.84695,0.0008614,0.0008614,0.0008614
72,567.283,0.49207,0.3896,0.98538,0.99694,0.99823,0.995,0.94767,0.27863,0.24053,0.8345,0.00085942,0.00085942,0.00085942
73,575.251,0.46957,0.38603,0.98026,0.99248,0.99576,0.995,0.96003,0.29482,0.24056,0.84365,0.00085744,0.00085744,0.00085744
74,582.861,0.4997,0.3969,1.0038,0.99521,0.99831,0.995,0.95851,0.28135,0.2412,0.84067,0.00085546,0.00085546,0.00085546
75,590.54,0.47142,0.38255,0.98929,0.98905,0.99309,0.99447,0.95765,0.2753,0.24255,0.83176,0.00085348,0.00085348,0.00085348
76,598.357,0.49081,0.39703,1.00331,0.99091,0.99012,0.99496,0.94991,0.30377,0.25958,0.85442,0.0008515,0.0008515,0.0008515
77,605.967,0.49307,0.40194,0.98879,0.99167,0.99864,0.99455,0.95354,0.2924,0.24494,0.84774,0.00084952,0.00084952,0.00084952
78,613.829,0.46478,0.36693,0.98757,0.97943,0.99017,0.99372,0.94065,0.31199,0.25867,0.85384,0.00084754,0.00084754,0.00084754
79,621.729,0.48567,0.37844,0.9873,0.98678,0.99247,0.99475,0.93515,0.32312,0.2742,0.85691,0.00084556,0.00084556,0.00084556
80,629.524,0.48401,0.38498,0.98428,0.99326,0.98864,0.99373,0.94989,0.29529,0.24509,0.84531,0.00084358,0.00084358,0.00084358
81,637.402,0.48819,0.39055,0.99352,0.99198,0.99382,0.99483,0.94354,0.32142,0.27154,0.86099,0.0008416,0.0008416,0.0008416
82,645.101,0.47252,0.379,0.98191,0.98745,0.99626,0.99479,0.95821,0.28374,0.23935,0.83768,0.00083962,0.00083962,0.00083962
83,653.13,0.45888,0.37461,0.96966,0.99641,0.99726,0.995,0.95817,0.2793,0.22784,0.83519,0.00083764,0.00083764,0.00083764
84,661.294,0.45871,0.36877,0.98338,0.98986,0.99864,0.995,0.95692,0.27657,0.2308,0.83781,0.00083566,0.00083566,0.00083566
85,669.547,0.45888,0.35982,0.97296,0.99433,0.99531,0.995,0.96158,0.27012,0.22601,0.83455,0.00083368,0.00083368,0.00083368
86,677.577,0.45871,0.37297,0.97705,0.99602,0.99319,0.995,0.95494,0.27736,0.22711,0.83125,0.0008317,0.0008317,0.0008317
87,685.796,0.46886,0.36533,0.99261,0.98721,0.997,0.99476,0.95391,0.27724,0.23884,0.83163,0.00082972,0.00082972,0.00082972
88,693.755,0.45201,0.34419,0.9806,0.99367,0.99729,0.99423,0.94977,0.2673,0.22775,0.83437,0.00082774,0.00082774,0.00082774
89,701.839,0.46038,0.34195,0.98184,0.99615,0.99729,0.99499,0.94721,0.27533,0.22836,0.83639,0.00082576,0.00082576,0.00082576
90,709.509,0.47234,0.37102,0.98556,0.99191,0.98663,0.99477,0.95358,0.27521,0.23602,0.83803,0.00082378,0.00082378,0.00082378
91,717.495,0.46411,0.35937,0.98598,0.99672,0.99332,0.99499,0.96385,0.26082,0.22744,0.82998,0.0008218,0.0008218,0.0008218
92,725.473,0.43636,0.3569,0.96974,0.99801,0.99864,0.995,0.96311,0.26567,0.22084,0.82436,0.00081982,0.00081982,0.00081982
93,733.562,0.48608,0.37541,0.99172,0.99222,0.99659,0.99454,0.94836,0.28801,0.24426,0.84028,0.00081784,0.00081784,0.00081784
94,741.691,0.48612,0.36812,0.9975,0.99598,0.99151,0.99497,0.95446,0.29047,0.22897,0.84174,0.00081586,0.00081586,0.00081586
95,749.838,0.44531,0.34582,0.96705,0.9937,0.9867,0.99472,0.95398,0.27531,0.23611,0.82948,0.00081388,0.00081388,0.00081388
96,757.656,0.46223,0.37781,0.97872,0.99166,0.99864,0.995,0.96555,0.27294,0.22301,0.82918,0.0008119,0.0008119,0.0008119
97,765.466,0.44136,0.34741,0.97235,0.97889,0.99306,0.9916,0.95396,0.27119,0.25177,0.82808,0.00080992,0.00080992,0.00080992
98,773.137,0.44498,0.35264,0.97461,0.99585,0.99864,0.995,0.96962,0.25993,0.2118,0.82464,0.00080794,0.00080794,0.00080794
99,780.859,0.43183,0.35354,0.96254,0.99551,0.99864,0.995,0.96417,0.26018,0.21947,0.8251,0.00080596,0.00080596,0.00080596
100,788.374,0.44479,0.34932,0.97123,0.99206,0.996,0.995,0.96656,0.25852,0.21519,0.82614,0.00080398,0.00080398,0.00080398
101,796.06,0.42982,0.33794,0.96215,0.99242,0.99657,0.995,0.9682,0.26634,0.21908,0.82911,0.000802,0.000802,0.000802
102,803.637,0.45145,0.36846,0.96885,0.99694,0.99864,0.995,0.96651,0.26173,0.22408,0.82793,0.00080002,0.00080002,0.00080002
103,811.453,0.44565,0.34697,0.96848,0.99467,0.99864,0.995,0.96013,0.26914,0.21749,0.83124,0.00079804,0.00079804,0.00079804
104,819.321,0.45021,0.3558,0.97956,0.99307,0.99864,0.99489,0.96108,0.27412,0.2339,0.83844,0.00079606,0.00079606,0.00079606
105,826.958,0.46905,0.36039,0.97548,0.9972,0.99864,0.995,0.95684,0.26469,0.22388,0.83002,0.00079408,0.00079408,0.00079408
106,834.651,0.43588,0.33665,0.95878,0.99147,0.99729,0.99499,0.96079,0.26089,0.21497,0.82677,0.0007921,0.0007921,0.0007921
107,842.276,0.44064,0.3515,0.96125,0.99156,0.99515,0.99492,0.9569,0.26966,0.21266,0.8274,0.00079012,0.00079012,0.00079012
108,850.083,0.43097,0.34601,0.96915,0.98479,0.99729,0.99477,0.96125,0.26288,0.21674,0.82755,0.00078814,0.00078814,0.00078814
109,857.933,0.44365,0.3342,0.97079,0.99715,0.99864,0.995,0.96716,0.26372,0.2109,0.82793,0.00078616,0.00078616,0.00078616
110,866.002,0.42801,0.34026,0.96213,0.98943,0.99244,0.99497,0.96058,0.26232,0.21084,0.82893,0.00078418,0.00078418,0.00078418
111,874.06,0.44419,0.33969,0.9876,0.99448,0.99864,0.99499,0.95871,0.26755,0.21007,0.8255,0.0007822,0.0007822,0.0007822
112,881.805,0.42335,0.31653,0.96831,0.98332,0.99104,0.98891,0.95335,0.27283,0.23172,0.83434,0.00078022,0.00078022,0.00078022
113,889.277,0.43435,0.3228,0.95901,0.99761,0.99844,0.995,0.9596,0.27184,0.21518,0.83146,0.00077824,0.00077824,0.00077824
114,896.725,0.44387,0.36118,0.95839,0.99723,0.99864,0.995,0.95754,0.25446,0.20077,0.82206,0.00077626,0.00077626,0.00077626
115,904.527,0.41341,0.32016,0.95774,0.99744,0.99864,0.995,0.96949,0.24985,0.19966,0.81849,0.00077428,0.00077428,0.00077428
116,912.312,0.43636,0.33391,0.9713,0.9949,0.99864,0.995,0.95976,0.26743,0.20767,0.82477,0.0007723,0.0007723,0.0007723
117,920.034,0.43736,0.32189,0.96446,0.99553,0.99864,0.995,0.96558,0.25861,0.20948,0.82453,0.00077032,0.00077032,0.00077032
118,927.75,0.42925,0.33021,0.96121,0.99589,0.99864,0.995,0.96502,0.26074,0.20677,0.83073,0.00076834,0.00076834,0.00076834
119,935.571,0.43955,0.32891,0.97518,0.99701,0.99729,0.99499,0.96262,0.28051,0.21988,0.83679,0.00076636,0.00076636,0.00076636
120,943.81,0.45533,0.33375,0.98207,0.99677,0.99747,0.995,0.95805,0.25314,0.209,0.822,0.00076438,0.00076438,0.00076438
121,951.622,0.43549,0.32687,0.96826,0.99821,0.99864,0.995,0.96881,0.24394,0.19672,0.82081,0.0007624,0.0007624,0.0007624
122,959.432,0.42636,0.33297,0.96415,0.9974,0.99864,0.995,0.96512,0.25428,0.21143,0.82354,0.00076042,0.00076042,0.00076042
123,967.216,0.42197,0.31917,0.9737,0.99483,0.99792,0.995,0.97203,0.24285,0.20413,0.81874,0.00075844,0.00075844,0.00075844
124,974.821,0.40179,0.32034,0.95735,0.99609,0.99864,0.995,0.96532,0.24149,0.20789,0.81595,0.00075646,0.00075646,0.00075646
125,982.447,0.4367,0.33646,0.97094,0.98747,0.99721,0.99482,0.96868,0.24303,0.20693,0.82259,0.00075448,0.00075448,0.00075448
126,990.054,0.41512,0.32572,0.97117,0.993,0.99642,0.995,0.97305,0.23827,0.202,0.81626,0.0007525,0.0007525,0.0007525
127,997.747,0.43828,0.33013,0.97535,0.99738,0.99864,0.995,0.96936,0.25405,0.20842,0.82421,0.00075052,0.00075052,0.00075052
128,1005.43,0.40654,0.31862,0.94957,0.99388,0.99864,0.995,0.9727,0.24186,0.19868,0.81978,0.00074854,0.00074854,0.00074854
129,1013.4,0.40469,0.30884,0.95801,0.99373,0.99864,0.995,0.97,0.2419,0.19565,0.82064,0.00074656,0.00074656,0.00074656
130,1021.02,0.43917,0.31719,0.97062,0.99664,0.99864,0.995,0.96715,0.25024,0.19317,0.822,0.00074458,0.00074458,0.00074458
131,1028.94,0.42847,0.31679,0.96139,0.99247,0.99729,0.99496,0.96665,0.2522,0.20723,0.82572,0.0007426,0.0007426,0.0007426
132,1036.69,0.43493,0.32587,0.96252,0.99549,0.99864,0.99499,0.9656,0.2461,0.2014,0.82256,0.00074062,0.00074062,0.00074062
133,1044.36,0.44072,0.32073,0.96371,0.995,0.99864,0.99499,0.96801,0.24373,0.20456,0.82617,0.00073864,0.00073864,0.00073864
134,1051.93,0.42873,0.34063,0.96405,0.99466,0.99772,0.99496,0.97136,0.24872,0.20136,0.82542,0.00073666,0.00073666,0.00073666
135,1059.52,0.43118,0.32968,0.96636,0.99294,0.99822,0.99497,0.96858,0.23873,0.1985,0.81899,0.00073468,0.00073468,0.00073468
136,1067.28,0.4065,0.31172,0.95536,0.99544,0.99804,0.995,0.96743,0.2409,0.19967,0.8171,0.0007327,0.0007327,0.0007327
137,1075.19,0.41142,0.30412,0.95455,0.99807,0.99324,0.995,0.97317,0.23415,0.18504,0.81578,0.00073072,0.00073072,0.00073072
138,1082.91,0.42702,0.31693,0.95167,0.99615,0.99864,0.995,0.97133,0.23707,0.19025,0.81895,0.00072874,0.00072874,0.00072874
139,1090.65,0.42005,0.3124,0.95648,0.99789,0.99864,0.995,0.97503,0.23457,0.1897,0.81341,0.00072676,0.00072676,0.00072676
140,1098.37,0.39759,0.30812,0.94339,0.99764,0.99864,0.995,0.97235,0.24132,0.19612,0.81776,0.00072478,0.00072478,0.00072478
141,1106.04,0.40318,0.33211,0.95863,0.99436,0.99864,0.995,0.96794,0.23986,0.19544,0.81371,0.0007228,0.0007228,0.0007228
142,1113.65,0.41982,0.31901,0.96002,0.99548,0.99729,0.99499,0.97284,0.24194,0.19939,0.81772,0.00072082,0.00072082,0.00072082
143,1121.28,0.40885,0.31529,0.95262,0.99298,0.99864,0.99496,0.9672,0.24543,0.20661,0.8211,0.00071884,0.00071884,0.00071884
